date,fund_code,nav,source,fetched_at,is_estimate
2025-01-02,900001,1.000000,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-02,900002,1.000000,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-02,900003,1.000000,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-02,900004,1.000000,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-03,900001,1.002646,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-03,900002,1.002646,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-03,900003,1.005833,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-03,900004,1.002820,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-06,900001,1.005267,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-06,900002,1.005267,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-06,900003,1.011564,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-06,900004,1.005620,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-07,900001,1.007840,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-07,900002,1.007840,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-07,900003,1.017095,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-07,900004,1.008384,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-08,900001,1.010339,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-08,900002,1.010339,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-08,900003,1.022329,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-08,900004,1.011092,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-09,900001,1.012743,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-09,900002,1.012743,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-09,900003,1.027178,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-09,900004,1.013726,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-10,900001,1.015031,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-10,900002,1.015031,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-10,900003,1.031559,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-10,900004,1.016270,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-13,900001,1.017181,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-13,900002,1.017181,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-13,900003,1.035401,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-13,900004,1.018707,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-14,900001,1.019175,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-14,900002,1.019175,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-14,900003,1.038644,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-14,900004,1.021021,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-15,900001,1.020996,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-15,900002,1.020996,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-15,900003,1.041237,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-15,900004,1.023198,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-16,900001,1.022631,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-16,900002,1.022631,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-16,900003,1.043147,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-16,900004,1.025224,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-17,900001,1.024067,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-17,900002,1.024067,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
2025-01-17,900003,1.044350,synthetic-demo-not-market-data,2026-07-12T08:00:00+08:00,false
