as_of,fund_code,fund_name,status,is_qdii,observations,latest_date,latest_nav,stale_calendar_days,ma20,nav_vs_ma20,ma60,nav_vs_ma60,rsi14,return_20obs,return_60obs,drawdown_60obs,max_drawdown_full_history,relative_20obs_vs_007339,relative_60obs_vs_007339,technical_state,source,fetched_at
2026-07-13,007339,易方达沪深300ETF联接C,provisional_missing_shares_and_dates,false,1752,2026-07-13,1.8823,0,1.9480,-0.03372690,1.9290,-0.02421618,42.23,-0.01077360,0.00960094,0.06371866,0.39792116,0.00000000,0.00000000,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007339.js?v=1783957285015,2026-07-13T15:41:25.014Z
2026-07-13,021894,易方达半导体材料设备ETF联接C,provisional_missing_shares_and_dates,false,391,2026-07-13,2.9538,0,2.9107,0.01479523,2.2825,0.29408277,59.10,0.28582622,0.85481947,0.14697209,0.18405335,0.29659982,0.84521852,多头排列,https://fund.eastmoney.com/pingzhongdata/021894.js?v=1783957285926,2026-07-13T15:41:25.014Z
2026-07-13,010004,景顺长城电子信息产业股票C,provisional_missing_shares_and_dates,false,1402,2026-07-13,2.1446,0,2.2627,-0.05217543,2.0550,0.04359589,47.57,0.09329119,0.24787618,0.12264768,0.45982635,0.10406479,0.23827523,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/010004.js?v=1783957286613,2026-07-13T15:41:25.014Z
2026-07-13,012922,易方达全球成长精选混合(QDII)C,provisional_missing_shares_and_dates,true,1050,2026-07-10,4.4216,3,4.7747,-0.07394938,4.1918,0.05482006,47.73,0.00172179,0.38162047,0.17494359,0.20224947,-0.01506796,0.34359704,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/012922.js?v=1783957287335,2026-07-13T15:41:25.014Z
2026-07-13,021528,财通成长优选混合C,provisional_missing_shares_and_dates,false,517,2026-07-13,4.5180,0,5.3727,-0.15908203,4.3187,0.04614815,41.65,-0.03831418,0.50199468,0.23721087,0.39054545,-0.02754058,0.49239374,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021528.js?v=1783957288032,2026-07-13T15:41:25.014Z
2026-07-13,007818,国泰中证全指通信设备ETF联接C,provisional_missing_shares_and_dates,false,1662,2026-07-13,4.0644,0,4.5786,-0.11230022,4.2264,-0.03832101,41.34,-0.05698376,0.19208095,0.20067653,0.44363249,-0.04621016,0.18248001,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007818.js?v=1783957288673,2026-07-13T15:41:25.014Z
2026-07-13,019024,易方达信息行业精选股票C,provisional_missing_shares_and_dates,false,644,2026-07-13,2.8973,0,3.2226,-0.10094613,2.7595,0.04993024,45.17,0.03808671,0.39206265,0.16944731,0.22388060,0.04886030,0.38246171,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/019024.js?v=1783957289382,2026-07-13T15:41:25.014Z
2026-07-13,024481,财通品质甄选混合C,provisional_missing_shares_and_dates,false,166,2026-07-13,2.0279,0,2.4182,-0.16139584,1.9391,0.04577736,41.60,-0.03813499,0.50203689,0.24071439,0.24071439,-0.02736139,0.49243594,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/024481.js?v=1783957290010,2026-07-13T15:41:25.014Z
2026-07-13,017731,嘉实全球产业升级股票(QDII)C,provisional_missing_shares_and_dates,true,787,2026-07-10,4.5577,3,4.5998,-0.00915149,4.0569,0.12344124,54.50,0.09158623,0.49110122,0.12129450,0.28054698,0.07479648,0.45307779,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/017731.js?v=1783957290600,2026-07-13T15:41:25.014Z
2026-07-13,014565,天弘沪深港创新药50ETF联接C,sold_user_reported_pending_confirmation,false,1004,2026-07-13,1.1934,0,1.1095,0.07563419,1.1086,0.07645403,64.32,0.16634089,0.00025145,0.19850004,0.45538615,0.17711449,-0.00934950,多头排列,https://fund.eastmoney.com/pingzhongdata/014565.js?v=1783957291272,2026-07-13T15:41:25.014Z
