as_of,fund_code,fund_name,status,is_qdii,observations,latest_date,latest_nav,stale_calendar_days,ma20,nav_vs_ma20,ma60,nav_vs_ma60,rsi14,return_20obs,return_60obs,drawdown_60obs,max_drawdown_full_history,relative_20obs_vs_007339,relative_60obs_vs_007339,technical_state,source,fetched_at
2026-07-16,007339,易方达沪深300ETF联接C,provisional_missing_shares_and_dates,false,1754,2026-07-15,1.9172,1,1.9454,-0.01449573,1.9307,-0.00698628,48.15,-0.01348153,0.02076456,0.06371866,0.39792116,0.00000000,0.00000000,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007339.js?v=1784174688233,2026-07-16T04:04:48.225Z
2026-07-16,021894,易方达半导体材料设备ETF联接C,provisional_missing_shares_and_dates,false,393,2026-07-15,2.7674,1,2.9563,-0.06388952,2.3253,0.19014221,51.91,0.14915705,0.74445285,0.16847450,0.18405335,0.16263857,0.72368829,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021894.js?v=1784174689212,2026-07-16T04:04:48.225Z
2026-07-16,010004,景顺长城电子信息产业股票C,provisional_missing_shares_and_dates,false,1404,2026-07-15,2.0816,1,2.2672,-0.08185297,2.0680,0.00657802,43.94,-0.00004804,0.18860275,0.14842088,0.45982635,0.01343349,0.16783819,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/010004.js?v=1784174689956,2026-07-16T04:04:48.225Z
2026-07-16,012922,易方达全球成长精选混合(QDII)C,provisional_missing_shares_and_dates,true,1052,2026-07-14,4.3279,2,4.7366,-0.08629324,4.2264,0.02401369,46.48,-0.09889858,0.35488213,0.20655327,0.20655327,-0.08564062,0.32179449,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/012922.js?v=1784174690763,2026-07-16T04:04:48.225Z
2026-07-16,021528,财通成长优选混合C,provisional_missing_shares_and_dates,false,519,2026-07-15,4.7990,1,5.3264,-0.09900776,4.3817,0.09524117,48.86,-0.12057907,0.58121911,0.23721087,0.39054545,-0.10709755,0.56045455,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021528.js?v=1784174691461,2026-07-16T04:04:48.225Z
2026-07-16,007818,国泰中证全指通信设备ETF联接C,provisional_missing_shares_and_dates,false,1664,2026-07-15,4.1620,1,4.5375,-0.08274673,4.2530,-0.02138592,45.15,-0.11220137,0.19956191,0.20067653,0.44363249,-0.09871984,0.17879735,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007818.js?v=1784174692138,2026-07-16T04:04:48.225Z
2026-07-16,019024,易方达信息行业精选股票C,provisional_missing_shares_and_dates,false,646,2026-07-15,2.9407,1,3.2122,-0.08452151,2.7892,0.05432484,47.36,-0.05948764,0.38790825,0.16944731,0.22388060,-0.04600611,0.36714369,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/019024.js?v=1784174693095,2026-07-16T04:04:48.225Z
2026-07-16,024481,财通品质甄选混合C,provisional_missing_shares_and_dates,false,168,2026-07-15,2.1499,1,2.3962,-0.10279336,1.9673,0.09282868,48.62,-0.12474046,0.58022786,0.24071439,0.24071439,-0.11125894,0.55946330,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/024481.js?v=1784174693852,2026-07-16T04:04:48.225Z
2026-07-16,017731,嘉实全球产业升级股票(QDII)C,provisional_missing_shares_and_dates,true,789,2026-07-14,4.4891,2,4.6129,-0.02683567,4.1007,0.09472177,52.37,0.01680672,0.44079982,0.13187031,0.28054698,0.03006469,0.40771218,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/017731.js?v=1784174694454,2026-07-16T04:04:48.225Z
2026-07-16,014565,天弘沪深港创新药50ETF联接C,sold_user_reported_pending_confirmation,false,1006,2026-07-15,1.2608,1,1.1321,0.11363827,1.1091,0.13679123,71.30,0.25565183,0.02779816,0.17820127,0.45538615,0.26913335,0.00703360,多头排列,https://fund.eastmoney.com/pingzhongdata/014565.js?v=1784174695210,2026-07-16T04:04:48.225Z
