as_of,fund_code,fund_name,status,is_qdii,observations,latest_date,latest_nav,stale_calendar_days,ma20,nav_vs_ma20,ma60,nav_vs_ma60,rsi14,return_20obs,return_60obs,drawdown_60obs,max_drawdown_full_history,relative_20obs_vs_007339,relative_60obs_vs_007339,technical_state,source,fetched_at
2026-07-17,007339,易方达沪深300ETF联接C,provisional_missing_shares_and_dates,false,1755,2026-07-16,1.8854,1,1.9416,-0.02895520,1.9309,-0.02354307,43.60,-0.03855176,0.00543942,0.06371866,0.39792116,0.00000000,0.00000000,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007339.js?v=1784260640092,2026-07-17T03:57:20.085Z
2026-07-17,021894,易方达半导体材料设备ETF联接C,provisional_missing_shares_and_dates,false,393,2026-07-15,2.7674,2,2.9563,-0.06388952,2.3253,0.19014221,51.91,0.14915705,0.74445285,0.16847450,0.18405335,0.16263857,0.72368829,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021894.js?v=1784174689212,2026-07-16T04:04:48.225Z
2026-07-17,010004,景顺长城电子信息产业股票C,provisional_missing_shares_and_dates,false,1405,2026-07-16,2.0232,1,2.2588,-0.10430317,2.0724,-0.02372803,40.73,-0.07645958,0.14915370,0.17231222,0.45982635,-0.03790782,0.14371428,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/010004.js?v=1784260656447,2026-07-17T03:57:20.085Z
2026-07-17,012922,易方达全球成长精选混合(QDII)C,provisional_missing_shares_and_dates,true,1053,2026-07-15,4.2954,2,4.7147,-0.08894330,4.2432,0.01231198,45.69,-0.09251474,0.30543399,0.20655327,0.20655327,-0.07903321,0.28466943,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/012922.js?v=1784260657228,2026-07-17T03:57:20.085Z
2026-07-17,021528,财通成长优选混合C,provisional_missing_shares_and_dates,false,520,2026-07-16,4.6280,1,5.2777,-0.12309456,4.4057,0.05046134,45.73,-0.17386648,0.45169385,0.23721087,0.39054545,-0.13531472,0.44625443,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021528.js?v=1784260657982,2026-07-17T03:57:20.085Z
2026-07-17,007818,国泰中证全指通信设备ETF联接C,provisional_missing_shares_and_dates,false,1665,2026-07-16,4.0179,1,4.5007,-0.10726724,4.2595,-0.05672470,41.63,-0.15476691,0.10872265,0.20982143,0.44363249,-0.11621515,0.10328323,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007818.js?v=1784260658637,2026-07-17T03:57:20.085Z
2026-07-17,019024,易方达信息行业精选股票C,provisional_missing_shares_and_dates,false,647,2026-07-16,2.8486,1,3.1932,-0.10790565,2.7999,0.01737773,44.02,-0.11791664,0.29323103,0.18340787,0.22388060,-0.07936488,0.28779161,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/019024.js?v=1784260659411,2026-07-17T03:57:20.085Z
2026-07-17,024481,财通品质甄选混合C,provisional_missing_shares_and_dates,false,169,2026-07-16,2.0751,1,2.3737,-0.12580806,1.9781,0.04906082,45.57,-0.17808056,0.45254095,0.24071439,0.24071439,-0.13952880,0.44710153,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/024481.js?v=1784260660096,2026-07-17T03:57:20.085Z
2026-07-17,017731,嘉实全球产业升级股票(QDII)C,provisional_missing_shares_and_dates,true,790,2026-07-15,4.3746,2,4.6136,-0.05179925,4.1211,0.06151828,48.96,0.00316456,0.38854150,0.13198936,0.28054698,0.01664608,0.36777694,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/017731.js?v=1784260660683,2026-07-17T03:57:20.085Z
2026-07-17,014565,天弘沪深港创新药50ETF联接C,sold_user_reported_pending_confirmation,false,1007,2026-07-16,1.2476,1,1.1447,0.08984970,1.1099,0.12402472,68.52,0.25311370,0.04279505,0.17385094,0.45538615,0.29166546,0.03735563,多头排列,https://fund.eastmoney.com/pingzhongdata/014565.js?v=1784260661377,2026-07-17T03:57:20.085Z
