as_of,fund_code,fund_name,status,is_qdii,observations,latest_date,latest_nav,stale_calendar_days,ma20,nav_vs_ma20,ma60,nav_vs_ma60,rsi14,return_20obs,return_60obs,drawdown_60obs,max_drawdown_full_history,relative_20obs_vs_007339,relative_60obs_vs_007339,technical_state,source,fetched_at
2026-07-21,007339,易方达沪深300ETF联接C,provisional_missing_shares_and_dates,false,1758,2026-07-21,1.9024,0,1.9237,-0.01108012,1.9291,-0.01385088,48.94,-0.02804884,-0.00052538,0.09276761,0.39792116,0.00000000,0.00000000,空头排列,https://fund.eastmoney.com/pingzhongdata/007339.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,021894,易方达半导体材料设备ETF联接C,provisional_missing_shares_and_dates,false,397,2026-07-21,2.6222,0,2.9230,-0.10291257,2.3837,0.10006607,50.19,-0.02534939,0.60979802,0.31249061,0.31249061,0.00269945,0.61032340,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021894.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,010004,景顺长城电子信息产业股票C,provisional_missing_shares_and_dates,false,1408,2026-07-21,1.9854,0,2.2091,-0.10127109,2.0769,-0.04406525,43.68,-0.10130364,0.07966719,0.24660448,0.45982635,-0.07325480,0.08019257,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/010004.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,012922,易方达全球成长精选混合(QDII)C,provisional_missing_shares_and_dates,true,1056,2026-07-20,3.8413,1,4.5452,-0.15486295,4.2723,-0.10088278,35.69,-0.27161196,0.14321002,0.27161196,0.27161196,-0.19132943,0.16500666,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/012922.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,021528,财通成长优选混合C,provisional_missing_shares_and_dates,false,523,2026-07-21,4.1620,0,5.0286,-0.17232602,4.4455,-0.06378288,42.14,-0.24161808,0.23942823,0.35758906,0.39054545,-0.21356923,0.23995361,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021528.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,007818,国泰中证全指通信设备ETF联接C,provisional_missing_shares_and_dates,false,1668,2026-07-21,3.8535,0,4.3142,-0.10677861,4.2575,-0.09489031,42.54,-0.20735972,0.00145534,0.29637351,0.44363249,-0.17931087,0.00198071,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007818.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,019024,易方达信息行业精选股票C,provisional_missing_shares_and_dates,false,650,2026-07-21,2.7912,0,3.0906,-0.09686270,2.8202,-0.01029173,46.26,-0.14042868,0.20414150,0.27195849,0.27195849,-0.11237983,0.20466688,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/019024.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,024481,财通品质甄选混合C,provisional_missing_shares_and_dates,false,172,2026-07-21,1.8713,0,2.2611,-0.17240312,1.9963,-0.06263853,42.03,-0.24254200,0.24637005,0.35738356,0.35738356,-0.21449315,0.24689543,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/024481.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,017731,嘉实全球产业升级股票(QDII)C,provisional_missing_shares_and_dates,true,793,2026-07-20,3.8945,1,4.5244,-0.13922478,4.1610,-0.06403661,36.79,-0.17608107,0.20815883,0.22725108,0.28054698,-0.09579854,0.22995547,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/017731.js?v=1784660658065,2026-07-22T03:04:18+08:00
2026-07-21,014565,天弘沪深港创新药50ETF联接C,sold_user_reported_pending_confirmation,false,1009,2026-07-20,1.2175,1,1.1618,0.04796540,1.1103,0.09650275,60.55,0.18295764,0.03388247,0.16394558,0.45538615,0.26324017,0.05567911,多头排列,https://fund.eastmoney.com/pingzhongdata/014565.js?v=1784608488181,2026-07-21T04:34:41.314Z
